fpn,folder,rpath,rfolder,filename,name,ext,size,mtime,ctime,is_file,dst_fpn,action
C:\backup\GIT\COPYfireman\.git\objects\fe\1afa7ec01e7193458b49d96402268bcd9fc70c,C:\backup\GIT\COPYfireman\.git\objects\fe,.git\objects\fe\1afa7ec01e7193458b49d96402268bcd9fc70c,.git\objects\fe,1afa7ec01e7193458b49d96402268bcd9fc70c,1afa7ec01e7193458b49d96402268bcd9fc70c,,154,2020-12-27 18:49:18.537179,2020-12-29 19:06:17.894806,True,C:\backup\GIT\copied\.git\objects\fe\copy_1afa7ec01e7193458b49d96402268bcd9fc70c,
C:\backup\GIT\COPYfireman\.git\objects\pack\pack-c1e698b3cb12bc9b9ad1a3ba84c0a2892ae686a4.idx,C:\backup\GIT\COPYfireman\.git\objects\pack,.git\objects\pack\pack-c1e698b3cb12bc9b9ad1a3ba84c0a2892ae686a4.idx,.git\objects\pack,pack-c1e698b3cb12bc9b9ad1a3ba84c0a2892ae686a4.idx,pack-c1e698b3cb12bc9b9ad1a3ba84c0a2892ae686a4,idx,1212,2020-12-27 18:46:06.291152,2020-12-29 19:06:17.910450,True,C:\backup\GIT\copied\.git\objects\pack\copy_pack-c1e698b3cb12bc9b9ad1a3ba84c0a2892ae686a4.idx,
C:\backup\GIT\COPYfireman\.git\objects\pack\pack-c1e698b3cb12bc9b9ad1a3ba84c0a2892ae686a4.pack,C:\backup\GIT\COPYfireman\.git\objects\pack,.git\objects\pack\pack-c1e698b3cb12bc9b9ad1a3ba84c0a2892ae686a4.pack,.git\objects\pack,pack-c1e698b3cb12bc9b9ad1a3ba84c0a2892ae686a4.pack,pack-c1e698b3cb12bc9b9ad1a3ba84c0a2892ae686a4,pack,2369,2020-12-27 18:46:06.289152,2020-12-29 19:06:17.910450,True,C:\backup\GIT\copied\.git\objects\pack\copy_pack-c1e698b3cb12bc9b9ad1a3ba84c0a2892ae686a4.pack,
C:\backup\GIT\COPYfireman\.git\ORIG_HEAD,C:\backup\GIT\COPYfireman\.git,.git\ORIG_HEAD,.git,ORIG_HEAD,ORIG_HEAD,,41,2020-12-28 14:01:18.787694,2020-12-29 19:06:17.754184,True,C:\backup\GIT\copied\.git\copy_ORIG_HEAD,
C:\backup\GIT\COPYfireman\.git\packed-refs,C:\backup\GIT\COPYfireman\.git,.git\packed-refs,.git,packed-refs,packed-refs,,112,2020-12-27 18:46:06.319506,2020-12-29 19:06:17.769830,True,C:\backup\GIT\copied\.git\copy_packed-refs,
C:\backup\GIT\COPYfireman\.git\refs\heads\main,C:\backup\GIT\COPYfireman\.git\refs\heads,.git\refs\heads\main,.git\refs\heads,main,main,,41,2020-12-29 15:07:44.957484,2020-12-29 19:06:17.910450,True,C:\backup\GIT\copied\.git\refs\heads\copy_main,
C:\backup\GIT\COPYfireman\.git\refs\remotes\origin\HEAD,C:\backup\GIT\COPYfireman\.git\refs\remotes\origin,.git\refs\remotes\origin\HEAD,.git\refs\remotes\origin,HEAD,HEAD,,30,2020-12-27 18:46:06.321923,2020-12-29 19:06:17.926096,True,C:\backup\GIT\copied\.git\refs\remotes\origin\copy_HEAD,
C:\backup\GIT\COPYfireman\.git\refs\remotes\origin\main,C:\backup\GIT\COPYfireman\.git\refs\remotes\origin,.git\refs\remotes\origin\main,.git\refs\remotes\origin,main,main,,41,2020-12-29 15:07:55.270261,2020-12-29 19:06:17.926096,True,C:\backup\GIT\copied\.git\refs\remotes\origin\copy_main,
C:\backup\GIT\COPYfireman\.gitignore,C:\backup\GIT\COPYfireman,.gitignore,,.gitignore,.gitignore,,1928,2020-12-27 18:46:06.331556,2020-12-29 19:06:17.722928,True,C:\backup\GIT\copied\copy_.gitignore,
C:\backup\GIT\COPYfireman\.vscode\.ropeproject\config.py,C:\backup\GIT\COPYfireman\.vscode\.ropeproject,.vscode\.ropeproject\config.py,.vscode\.ropeproject,config.py,config,py,4794,2020-12-25 21:20:17.837413,2020-12-29 19:06:17.941721,True,C:\backup\GIT\copied\.vscode\.ropeproject\copy_config.py,
